 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  18   6    -0.03  -0.21   0.05    -0.04  -0.02  -0.03    -0.10   0.14  -0.13
  19   6     0.07  -0.22   0.05    -0.06  -0.05  -0.06    -0.20  -0.01  -0.28
  20   1    -0.02  -0.05   0.02    -0.00  -0.02  -0.02    -0.01  -0.02  -0.01
  21   1    -0.00  -0.04  -0.02     0.01  -0.02  -0.03     0.00  -0.02  -0.02
  22   1    -0.05  -0.05  -0.04    -0.01  -0.02  -0.04    -0.01  -0.03  -0.02
  23   1     0.02  -0.01  -0.07     0.01  -0.02  -0.05     0.01  -0.03  -0.03
  24   1     0.00  -0.04  -0.03     0.01  -0.02  -0.04    -0.01  -0.03  -0.01
  25   1    -0.03  -0.04   0.02    -0.03   0.04   0.04     0.07   0.01   0.02
  26   1    -0.06  -0.03   0.02     0.11  -0.05   0.06     0.02   0.02   0.01
  27   1    -0.05  -0.11  -0.01     0.04   0.08   0.23     0.05   0.02  -0.06
  28   1    -0.03  -0.10   0.00     0.08   0.04   0.19     0.01   0.02  -0.06
  29   1     0.00  -0.11   0.00    -0.05   0.09   0.17     0.07   0.02  -0.05
  30   1     0.00   0.01  -0.01     0.01   0.01  -0.00    -0.03  -0.02   0.01
  31   1     0.02   0.03  -0.02    -0.01  -0.01   0.00     0.02  -0.02  -0.01
  32   1    -0.07   0.04   0.02    -0.02   0.01   0.03     0.01  -0.01   0.03
  33   1    -0.07   0.02   0.03    -0.02   0.01   0.03     0.01   0.01   0.03
  34   1    -0.05   0.01   0.01    -0.01   0.01   0.02     0.02  -0.04   0.01
  35   1    -0.06  -0.00   0.04    -0.01   0.00   0.03     0.03  -0.03   0.04
  36   1    -0.04  -0.01   0.02    -0.01   0.00   0.03     0.02  -0.03   0.02
  37   1    -0.03  -0.08   0.02    -0.02  -0.01  -0.01    -0.02   0.05  -0.02
  38   1    -0.00  -0.06   0.01     0.00   0.00  -0.01    -0.02   0.08  -0.06
  39   1     0.01  -0.06   0.01    -0.03  -0.02  -0.01    -0.07  -0.04  -0.06
  40   1     0.03  -0.08   0.02    -0.01  -0.02  -0.03    -0.06   0.01  -0.12
  41   1     0.04  -0.05   0.01    -0.01  -0.01  -0.01    -0.06  -0.01  -0.10
                      7                      8                      9
                        a                      a                      a 
 Frequencies --    70.7647                70.6314                69.6624
 Red. masses --    17.6818                12.7673                12.2660
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     2.8374                 5.1982                 0.6161
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.11  -0.16  -0.05     0.29   0.13   0.05     0.24   0.51   0.27
   2   6    -0.05  -0.04   0.01     0.13  -0.04   0.06     0.07   0.04  -0.03
   3   8     0.01   0.00   0.07    -0.02  -0.03  -0.02     0.01  -0.04  -0.11
   4  15     0.02  -0.00   0.10    -0.06  -0.03   0.02     0.06  -0.03  -0.08
   5  16     0.11  -0.06   0.13    -0.03   0.06   0.05     0.11   0.21  -0.02
   6   8     0.01   0.01   0.01    -0.06  -0.03  -0.03     0.03  -0.04  -0.06
   7   6     0.07   0.04   0.05     0.03   0.01   0.01    -0.03  -0.05  -0.01
   8   6     0.07   0.09  -0.04     0.04   0.11  -0.03    -0.03  -0.10   0.09
   9  16    -0.04   0.08   0.08    -0.18  -0.03   0.08     0.05  -0.23   0.04
  10   6    -0.02  -0.02   0.00    -0.12   0.05   0.07    -0.01  -0.05   0.03
  11  16    -0.25  -0.16  -0.16    -0.19   0.15  -0.05     0.01  -0.02  -0.06
  12  15    -0.01  -0.03  -0.21    -0.12   0.04  -0.10    -0.03  -0.06  -0.07
  13  16     0.19   0.11  -0.33    -0.09   0.04  -0.10     0.02  -0.08  -0.04
  14   8    -0.01   0.01  -0.03    -0.11   0.03  -0.11    -0.06  -0.01  -0.03
  15   6    -0.01  -0.01   0.05     0.08   0.02   0.04    -0.10  -0.03   0.02
  16   6     0.04  -0.07   0.04     0.38  -0.06   0.00    -0.15  -0.08   0.04
  17   8    -0.02  -0.03  -0.20    -0.11  -0.02  -0.07    -0.03  -0.06  -0.06
  18   6    -0.02  -0.05   0.13    -0.03  -0.14   0.13    -0.04  -0.03  -0.02
  19   6     0.01   0.31   0.46     0.34  -0.30   0.03    -0.17   0.18   0.16
  20   1    -0.03  -0.07   0.00     0.07   0.07  -0.01     0.03   0.23   0.04
  21   1    -0.04  -0.04  -0.03     0.10   0.04   0.02     0.14   0.12   0.16
  22   1    -0.04  -0.06  -0.03     0.11   0.03   0.03     0.08   0.19   0.10
  23   1    -0.02   0.01  -0.01     0.05  -0.05   0.04     0.08  -0.09   0.01
  24   1     0.00  -0.02   0.02     0.01  -0.01   0.01    -0.07   0.02  -0.08
  25   1     0.04   0.02   0.02     0.02   0.01   0.01    -0.03  -0.01  -0.01
  26   1     0.01  -0.00   0.03     0.02  -0.01   0.01    -0.00  -0.01  -0.01
  27   1     0.03   0.03  -0.00     0.03   0.04  -0.00    -0.02  -0.03   0.03
  28   1     0.00   0.01  -0.02    -0.00   0.03  -0.02     0.01  -0.03   0.03
  29   1     0.03   0.04  -0.03     0.01   0.04  -0.02    -0.02  -0.03   0.03
  30   1    -0.01   0.01   0.01    -0.04   0.03   0.03    -0.01  -0.01   0.02
  31   1     0.02  -0.02   0.00    -0.03   0.00   0.03    -0.00  -0.02   0.01
  32   1    -0.01   0.01   0.01     0.00   0.00  -0.02    -0.03   0.00   0.02
  33   1    -0.01  -0.00   0.03     0.01   0.03   0.07    -0.03  -0.01   0.00
  34   1     0.01  -0.03  -0.00     0.11  -0.05  -0.05    -0.04  -0.02   0.01
  35   1     0.02  -0.02   0.02     0.16  -0.02   0.01    -0.05  -0.03   0.02
  36   1     0.02  -0.02   0.02     0.12   0.00   0.04    -0.04  -0.03   0.00
  37   1    -0.00  -0.01  -0.02    -0.03  -0.07   0.12    -0.01  -0.00  -0.06
  38   1    -0.02  -0.10   0.08    -0.05  -0.01   0.02     0.01  -0.06   0.02
  39   1     0.03   0.17   0.09     0.15  -0.12   0.02    -0.07   0.10   0.02
  40   1    -0.01   0.10   0.20     0.11  -0.11   0.06    -0.05   0.06   0.05
  41   1    -0.01   0.07   0.19     0.11  -0.06  -0.07    -0.06   0.04   0.10
                     10                     11                     12
                        a                      a                      a 
 Frequencies --    83.2042                87.4006               101.5229
 Red. masses --    14.2415                12.7602                14.3630
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.5276                 2.9701                 0.8506
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.15  -0.08  -0.07    -0.32   0.03   0.00    -0.04  -0.08   0.00
   2   6     0.10  -0.06   0.02    -0.20   0.15  -0.01     0.04  -0.01  -0.01
   3   8     0.04  -0.01   0.00    -0.12   0.08   0.01     0.10  -0.04  -0.00
   4  15     0.00  -0.02  -0.01     0.00   0.09  -0.02     0.02  -0.05  -0.04
   5  16    -0.22  -0.12  -0.12     0.23  -0.01   0.06    -0.17   0.11  -0.09
   6   8     0.02   0.02   0.08     0.01   0.09  -0.07     0.01  -0.07   0.01
   7   6     0.10   0.04   0.06    -0.17  -0.01  -0.14     0.10  -0.02   0.02
   8   6     0.10   0.10  -0.13    -0.19  -0.17   0.24     0.10   0.09  -0.03
   9  16     0.04   0.06  -0.07     0.09  -0.07   0.02    -0.04   0.01  -0.04
  10   6     0.01   0.09  -0.02     0.02   0.03   0.00    -0.04   0.09   0.01
  11  16     0.10   0.20   0.03     0.14   0.17  -0.08     0.02   0.24  -0.05
  12  15    -0.09   0.01   0.05     0.00  -0.01  -0.08     0.01   0.04  -0.10
  13  16     0.18  -0.08   0.17    -0.03  -0.10   0.01    -0.07  -0.23   0.17
  14   8    -0.19   0.06  -0.02    -0.05   0.01  -0.12     0.04   0.01  -0.09
  15   6    -0.04   0.03   0.14     0.10  -0.04   0.13     0.08  -0.07   0.19
  16   6     0.28  -0.05   0.10     0.38  -0.22   0.11    -0.27  -0.42   0.29
  17   8    -0.14  -0.14  -0.03    -0.01  -0.02  -0.04     0.03   0.13  -0.20
  18   6    -0.08  -0.16  -0.20    -0.01  -0.02  -0.03     0.00   0.13  -0.01
  19   6    -0.39   0.10  -0.00    -0.03   0.02  -0.01     0.17   0.09  -0.03
  20   1     0.04  -0.02  -0.02    -0.07  -0.02   0.00     0.00  -0.04  -0.00
  21   1     0.05  -0.01  -0.04    -0.12  -0.00   0.00    -0.04  -0.04   0.01
  22   1     0.06  -0.04  -0.02    -0.11   0.03  -0.00    -0.02   0.00   0.00
  23   1     0.02  -0.02   0.01    -0.08   0.08  -0.01     0.00   0.02  -0.01
  24   1     0.03  -0.02   0.02    -0.03   0.06  -0.00     0.03   0.00  -0.00
  25   1     0.06   0.02   0.03    -0.12  -0.03  -0.08     0.04  -0.01   0.01
  26   1     0.01   0.00   0.04    -0.02   0.04  -0.09     0.04  -0.02   0.01
  27   1     0.05   0.04  -0.04    -0.10  -0.07   0.05     0.05   0.03  -0.01
  28   1    -0.01   0.02  -0.06     0.02  -0.02   0.11     0.01   0.03  -0.01
  29   1     0.05   0.04  -0.06    -0.09  -0.09   0.12     0.02   0.04  -0.01
  30   1     0.00   0.02  -0.01    -0.00   0.01   0.00    -0.01   0.03   0.01
  31   1    -0.01   0.03  -0.01    -0.00   0.01   0.00    -0.02   0.02   0.01
  32   1    -0.04   0.01   0.01     0.00   0.00   0.02     0.08   0.00   0.14
  33   1    -0.03   0.02   0.11     0.02   0.01   0.10     0.05   0.03  -0.00
  34   1     0.09  -0.04  -0.03     0.11  -0.10  -0.02    -0.10  -0.16   0.13
  35   1     0.12  -0.02   0.05     0.16  -0.07   0.06    -0.07  -0.14   0.14
  36   1     0.10  -0.01   0.07     0.12  -0.05   0.05    -0.13  -0.14  -0.00
  37   1    -0.03  -0.05  -0.17    -0.00  -0.00  -0.02     0.00   0.04   0.04
  38   1     0.06  -0.11  -0.03     0.00  -0.01  -0.01    -0.04   0.05  -0.01
  39   1    -0.19   0.09  -0.03    -0.02   0.01  -0.01     0.09   0.02  -0.01
  40   1    -0.10   0.02  -0.05    -0.01   0.00  -0.00     0.05   0.02   0.03
  41   1    -0.10   0.03   0.12    -0.01   0.01   0.01     0.05   0.03  -0.05
                     13                     14                     15
                        a                      a                      a 
 Frequencies --    92.9247               101.9654               120.6268
 Red. masses --     9.6099                11.4654                14.1679
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.1840                 3.8192                 2.0300
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.33  -0.20  -0.21     0.14   0.02  -0.14    -0.24  -0.03   0.15
   2   6     0.27   0.16   0.25     0.06   0.12   0.06     0.08   0.39   0.24
   3   8    -0.09   0.07   0.03    -0.16   0.08  -0.07     0.12  -0.06   0.09
   4  15    -0.04   0.07  -0.01    -0.04   0.09  -0.08     0.07  -0.13  -0.15
   5  16     0.05   0.01   0.02     0.31  -0.22   0.02    -0.11   0.31  -0.16
   6   8    -0.02   0.11  -0.08    -0.03   0.08  -0.07     0.02  -0.19  -0.13
   7   6    -0.08   0.01  -0.33    -0.16   0.16   0.44     0.09  -0.08   0.14
   8   6    -0.09   0.03   0.09    -0.15  -0.16  -0.12     0.10  -0.02  -0.05
   9  16     0.03  -0.19   0.09    -0.01  -0.02  -0.04    -0.06  -0.24  -0.02
  10   6    -0.03  -0.04   0.03     0.00   0.00   0.01    -0.05  -0.05   0.05
  11  16     0.03   0.02  -0.00     0.05   0.05  -0.02    -0.04  -0.01   0.03
  12  15    -0.02   0.01   0.01     0.01   0.01  -0.02    -0.01  -0.01   0.02
  13  16    -0.03   0.08  -0.06    -0.05   0.01  -0.03     0.00   0.06  -0.05
  14   8    -0.03   0.01   0.00    -0.00   0.01  -0.02     0.01  -0.02   0.02
  15   6    -0.01   0.01   0.00     0.01  -0.01   0.04     0.04   0.01  -0.04
  16   6    -0.19  -0.04   0.04    -0.10  -0.10   0.07     0.10   0.08  -0.06
  17   8    -0.03  -0.04   0.04     0.00  -0.01   0.00    -0.01  -0.02   0.02
  18   6    -0.00  -0.06   0.01     0.01  -0.02  -0.01     0.00  -0.03  -0.01
  19   6    -0.06   0.00   0.06     0.01  -0.02  -0.02    -0.03  -0.01   0.01
  20   1     0.15  -0.12  -0.10     0.06  -0.01  -0.07     0.01  -0.12   0.02
  21   1    -0.01  -0.04  -0.14    -0.00   0.01  -0.07    -0.19  -0.05   0.04
  22   1     0.15  -0.08  -0.04     0.08  -0.00  -0.02    -0.10   0.06   0.06
  23   1    -0.01   0.13   0.16    -0.02   0.06   0.07    -0.08   0.24   0.13
  24   1     0.22   0.06   0.13     0.07   0.04   0.04     0.19   0.17   0.07
  25   1    -0.09  -0.08  -0.15     0.04   0.21   0.21     0.06   0.04   0.07
  26   1     0.04   0.06  -0.18    -0.17  -0.04   0.27     0.00  -0.08   0.10
  27   1    -0.04  -0.01  -0.02    -0.08  -0.03   0.08     0.05   0.01   0.04
  28   1     0.05   0.09   0.08    -0.12  -0.22  -0.12    -0.01  -0.07  -0.05
  29   1    -0.09  -0.05   0.11     0.08   0.04  -0.17     0.05   0.05  -0.08
  30   1    -0.02  -0.01   0.01     0.00   0.01   0.00    -0.01  -0.00   0.02
  31   1    -0.01  -0.01   0.01    -0.00  -0.00   0.01    -0.02  -0.02   0.03
  32   1     0.03  -0.00   0.03     0.02  -0.00   0.04     0.01  -0.01  -0.03
  33   1     0.01   0.02  -0.04     0.01   0.01  -0.01     0.01   0.00  -0.00
  34   1    -0.06  -0.01   0.04    -0.04  -0.03   0.04     0.03   0.01  -0.02
  35   1    -0.07  -0.02   0.02    -0.03  -0.03   0.04     0.04   0.03  -0.03
  36   1    -0.07  -0.02  -0.02    -0.04  -0.04  -0.00     0.03   0.04  -0.00
  37   1    -0.01  -0.02  -0.03     0.00  -0.01  -0.01    -0.00  -0.01  -0.02
  38   1     0.02  -0.04   0.01     0.01  -0.01  -0.00     0.01  -0.02   0.00
  39   1    -0.04   0.02   0.01    -0.00  -0.01  -0.00    -0.02   0.01   0.00
  40   1    -0.01  -0.00   0.01     0.01  -0.01  -0.01    -0.01  -0.00  -0.00
  41   1    -0.01   0.00   0.05     0.01  -0.00  -0.00    -0.01   0.00   0.02
                     16                     17                     18
                        a                      a                      a 
 Frequencies --   132.2683               149.7686               159.5503
 Red. masses --    17.0966                19.6967                21.9125
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     9.8344                 8.3185                13.3756
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.03   0.02  -0.06    -0.03   0.05  -0.06     0.06  -0.07   0.01
   2   6     0.05   0.09  -0.00     0.01   0.08  -0.07     0.01  -0.02   0.12
   3   8     0.01   0.04  -0.04     0.05   0.06  -0.06    -0.11  -0.07   0.04
   4  15     0.11   0.05  -0.04     0.18   0.09  -0.03    -0.12  -0.10   0.03
   5  16    -0.08  -0.14  -0.16    -0.15  -0.22  -0.23     0.22   0.24   0.23
   6   8     0.12   0.10   0.06     0.18   0.15   0.11    -0.10  -0.09  -0.06
   7   6     0.01   0.05   0.02     0.02   0.05  -0.01    -0.03  -0.04   0.01
   8   6     0.01  -0.09   0.05     0.02  -0.16   0.03    -0.03   0.06  -0.01
   9  16     0.14  -0.13   0.07     0.14  -0.15   0.17     0.09   0.00  -0.21
  10   6     0.02   0.00   0.01    -0.00   0.03   0.07    -0.01  -0.09  -0.31
  11  16    -0.14  -0.10  -0.05    -0.23  -0.08   0.02     0.05  -0.23  -0.17
  12  15    -0.17  -0.04  -0.01    -0.07   0.07  -0.01    -0.05   0.13  -0.03
  13  16     0.43  -0.10   0.11    -0.28  -0.08   0.13     0.02  -0.25   0.36
  14   8    -0.16  -0.00  -0.00     0.09   0.04   0.22    -0.06   0.14   0.09
  15   6    -0.14  -0.01   0.01    -0.03   0.05   0.09    -0.16   0.11   0.08
  16   6     0.03   0.03  -0.03     0.01   0.21   0.07     0.05   0.18   0.04
  17   8    -0.09   0.07  -0.06    -0.08   0.08  -0.28    -0.06   0.10  -0.20
  18   6    -0.27   0.34   0.21     0.09  -0.17  -0.19    -0.01   0.01  -0.08
  19   6    -0.03   0.00  -0.07     0.23   0.05   0.03     0.14   0.07  -0.01
  20   1     0.02  -0.01  -0.02    -0.01   0.01  -0.00     0.02  -0.03  -0.00
  21   1    -0.01   0.01  -0.03    -0.01   0.02  -0.02     0.00  -0.01  -0.02
  22   1     0.01   0.00  -0.02    -0.02   0.01  -0.02     0.03  -0.04   0.01
  23   1    -0.00   0.05   0.01    -0.00   0.03  -0.03    -0.02   0.01   0.06
  24   1     0.04   0.03   0.01     0.01   0.03  -0.02     0.03  -0.00   0.04
  25   1    -0.01   0.01   0.00    -0.01   0.00  -0.01    -0.00  -0.00   0.01
  26   1    -0.01   0.03  -0.00    -0.01   0.04  -0.02     0.00  -0.03   0.01
  27   1    -0.03  -0.04   0.01    -0.04  -0.07  -0.01     0.01   0.03   0.01
  28   1     0.02  -0.03   0.02     0.03  -0.04   0.02    -0.02   0.01  -0.01
  29   1     0.02  -0.04   0.02     0.03  -0.08   0.03    -0.02   0.04  -0.01
  30   1    -0.01   0.01   0.01    -0.01   0.02   0.03    -0.02  -0.08  -0.11
  31   1     0.02  -0.01   0.00     0.02  -0.00   0.02    -0.01   0.02  -0.13
  32   1    -0.06   0.00  -0.02    -0.03   0.02   0.01    -0.09   0.05  -0.01
  33   1    -0.05  -0.01   0.03    -0.02  -0.02   0.03    -0.06  -0.00   0.06
  34   1     0.02   0.01  -0.04     0.01   0.09   0.02     0.04   0.09  -0.03
  35   1     0.02   0.01  -0.01    -0.02   0.07  -0.01    -0.01   0.05   0.01
  36   1     0.03   0.01   0.02     0.02   0.06   0.04     0.06   0.03   0.05
  37   1    -0.03   0.14   0.23    -0.02  -0.09  -0.12    -0.01  -0.01  -0.02
  38   1    -0.23   0.19   0.02     0.08  -0.11  -0.02    -0.01  -0.01  -0.01
  39   1     0.13  -0.10   0.02     0.04   0.08  -0.02     0.06   0.04  -0.01
  40   1    -0.04   0.06   0.05     0.09  -0.03   0.04     0.05   0.00   0.03
  41   1    -0.06  -0.03  -0.18     0.10   0.04   0.06     0.05   0.03  -0.01
                     19                     20                     21
                        a                      a                      a 
 Frequencies --   169.4853               195.8655               210.2876
 Red. masses --    14.1422                19.9656                15.1686
 Frc consts  --     0.0000                 0.0000                 0.0000
