 CONF#         G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF167       -64.673994          ---           -1981.452778       -0.014447        ---         -1981.467225          2.42                0.10         
CONF171       -64.673914          ---           -1981.452863       -0.014914        ---         -1981.467777          2.07                0.18         
CONF181       -64.673709          ---           -1981.453713       -0.015062        ---         -1981.468775          1.45                0.52         
CONF185       -64.673631          ---           -1981.454833       -0.014854        ---         -1981.469687          0.88                1.37         
CONF192       -64.673513          ---           -1981.455019       -0.014675        ---         -1981.469694          0.87                1.38         
CONF200       -64.673330          ---           -1981.449172       -0.014864        ---         -1981.464036          4.42                0.00         
CONF201       -64.673175          ---           -1981.453665       -0.015508        ---         -1981.469173          1.20                0.79         
CONF202       -64.673165          ---           -1981.453257       -0.015400        ---         -1981.468656          1.52                0.46         
CONF203       -64.673159          ---           -1981.452690       -0.015165        ---         -1981.467856          2.02                0.20         
CONF207       -64.673069          ---           -1981.454926       -0.015376        ---         -1981.470302          0.49                2.62         
CONF208       -64.673065          ---           -1981.454470       -0.015279        ---         -1981.469749          0.84                1.46         
CONF210       -64.673040          ---           -1981.451375       -0.014454        ---         -1981.465829          3.30                0.02         
CONF211       -64.673032          ---           -1981.455109       -0.014454        ---         -1981.469563          0.95                1.20         
CONF213       -64.673005          ---           -1981.446712       -0.014091        ---         -1981.460803          6.45                0.00         
CONF214       -64.672990          ---           -1981.449866       -0.015966        ---         -1981.465832          3.29                0.02         
CONF221       -64.672855          ---           -1981.447859       -0.015634        ---         -1981.463492          4.76                0.00         
CONF223       -64.672805          ---           -1981.454762       -0.015167        ---         -1981.469929          0.72                1.77         
CONF227       -64.672688          ---           -1981.447849       -0.014449        ---         -1981.462298          5.51                0.00         
CONF228       -64.672682          ---           -1981.447733       -0.014436        ---         -1981.462169          5.59                0.00         
CONF230       -64.672675          ---           -1981.449319       -0.013375        ---         -1981.462694          5.26                0.00         
CONF232       -64.672681          ---           -1981.449301       -0.016118        ---         -1981.465418          3.55                0.01         
CONF234       -64.672666          ---           -1981.447502       -0.014430        ---         -1981.461932          5.74                0.00         
CONF238       -64.672622          ---           -1981.448616       -0.015776        ---         -1981.464392          4.20                0.01         
CONF239       -64.672605          ---           -1981.454260       -0.015923        ---         -1981.470183          0.56                2.31         
CONF247       -64.672531          ---           -1981.448295       -0.016688        ---         -1981.464983          3.83                0.01         
CONF248       -64.672523          ---           -1981.448427       -0.015574        ---         -1981.464001          4.44                0.00         
CONF249       -64.672521          ---           -1981.449322       -0.015972        ---         -1981.465294          3.63                0.01         
CONF255       -64.672484          ---           -1981.454602       -0.015777        ---         -1981.470379          0.44                2.84         
CONF256       -64.672478          ---           -1981.455181       -0.014522        ---         -1981.469703          0.86                1.39         
CONF257       -64.672478          ---           -1981.455180       -0.014525        ---         -1981.469706          0.86                1.39         
CONF269       -64.672384          ---           -1981.454086       -0.015404        ---         -1981.469490          1.00                1.11         
CONF273       -64.672345          ---           -1981.448622       -0.013555        ---         -1981.462177          5.59                0.00         
CONF278       -64.672268          ---           -1981.449944       -0.012852        ---         -1981.462795          5.20                0.00         
CONF279       -64.672265          ---           -1981.449901       -0.012813        ---         -1981.462714          5.25                0.00         
CONF291       -64.672061          ---           -1981.454531       -0.016513        ---         -1981.471044          0.02                5.75         
CONF292       -64.672051          ---           -1981.454831       -0.014913        ---         -1981.469744          0.84                1.45         
CONF294       -64.672025          ---           -1981.453755       -0.016246        ---         -1981.470001          0.68                1.91         
