 CONF#         E (xTB)          ΔE (xTB)          E (DFT)           ΔE (DFT)        ΔGsolv (xTB)           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]           [kcal/mol]        [kcal/mol]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF549       -64.651739          1.80          -1979.024932          0.02           -11.188208        -1979.042762          0.62                1.26         
CONF550       -64.651650          1.86          -1979.024959          0.00           -11.237385        -1979.042867          0.55                1.40         
CONF552       -64.643648          6.88          -1979.013600          7.13           -16.252655        -1979.039500          2.67                0.04         
CONF555       -64.650993          2.27          -1979.023265          1.06           -11.630412        -1979.041800          1.22                0.45         
CONF562       -64.649321          3.32          -1979.018681          3.94           -12.604306        -1979.038767          3.13                0.02         
CONF563       -64.649315          3.32          -1979.018663          3.95           -12.608472        -1979.038756          3.13                0.02         
CONF565       -64.644411          6.40          -1979.016401          5.37           -15.677128        -1979.041384          1.48                0.29         
CONF568       -64.648067          4.11          -1979.020084          3.06           -13.362576        -1979.041379          1.49                0.29         
CONF572       -64.648075          4.10          -1979.020030          3.09           -13.312312        -1979.041245          1.57                0.25         
CONF574       -64.649533          3.19          -1979.023219          1.09           -12.370715        -1979.042933          0.51                1.50         
CONF576       -64.649521          3.19          -1979.019634          3.34           -12.357951        -1979.039328          2.77                0.03         
CONF582       -64.650962          2.29          -1979.023507          0.91           -11.400177        -1979.041674          1.30                0.40         
CONF583       -64.648385          3.91          -1979.020324          2.91           -13.010492        -1979.041057          1.69                0.21         
CONF585       -64.645483          5.73          -1979.015716          5.80           -14.819918        -1979.039333          2.77                0.03         
CONF586       -64.650937          2.30          -1979.024440          0.33           -11.397311        -1979.042603          0.72                1.06         
CONF590       -64.649626          3.13          -1979.019694          3.30           -12.204311        -1979.039143          2.89                0.03         
CONF592       -64.648467          3.85          -1979.017773          4.51           -12.920815        -1979.038364          3.38                0.01         
CONF593       -64.648630          3.75          -1979.018026          4.35           -12.810856        -1979.038441          3.33                0.01         
CONF595       -64.651018          2.25          -1979.023674          0.81           -11.290690        -1979.041667          1.31                0.39         

Boltzmann averaged free energy/enthalpy of ensemble on input geometries (not DFT optimized):
temperature /K:   avE(T) /a.u.   avG(T) /a.u.
    298.15       -1976.0805245   -1976.1016922     <<==part0==
----------------------------------------------------------------------------------------------------
