 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
   1   6    -0.44   0.07  -0.02     0.04   0.22   0.13     0.19  -0.11  -0.35
   2   6    -0.18  -0.03   0.02    -0.00   0.19   0.01    -0.04   0.08  -0.10
   3   8    -0.02   0.11  -0.03    -0.02   0.06  -0.05    -0.06   0.15  -0.08
   4  15    -0.02   0.10  -0.03     0.00   0.03  -0.06    -0.01   0.06  -0.07
   5  16    -0.16   0.12  -0.03    -0.10   0.10  -0.21    -0.13  -0.00   0.17
   6   8    -0.02   0.07  -0.02    -0.00   0.03  -0.04     0.09   0.01  -0.23
   7   6    -0.04  -0.04   0.11    -0.03  -0.06   0.08    -0.00   0.02   0.05
   8   6     0.09  -0.30   0.18     0.11  -0.34   0.14     0.24  -0.23   0.20
   9  16     0.06  -0.04  -0.01     0.10  -0.13   0.11     0.07  -0.08   0.17
  10   6     0.06  -0.04   0.02     0.02  -0.06   0.01    -0.00   0.01   0.01
  11  16     0.11  -0.02   0.02     0.06  -0.06  -0.08    -0.01   0.03   0.03
  12  15     0.05  -0.06  -0.01     0.09   0.00  -0.05    -0.06   0.09   0.05
  13  16    -0.17   0.10  -0.22     0.03   0.09   0.02     0.11  -0.10   0.01
  14   8     0.00  -0.11   0.11     0.05  -0.05  -0.08    -0.03   0.12   0.04
  15   6     0.13  -0.05   0.12    -0.06  -0.06  -0.12    -0.08   0.10   0.01
  16   6     0.25   0.20   0.07    -0.09  -0.21  -0.15    -0.20  -0.11   0.09
  17   8     0.08  -0.05   0.00     0.07  -0.02  -0.01    -0.12   0.08   0.01
  18   6     0.09  -0.06  -0.06    -0.03   0.05   0.08    -0.08   0.05   0.02
  19   6     0.17  -0.06  -0.13    -0.28   0.22   0.34     0.12  -0.13  -0.19
  20   1    -0.15  -0.00   0.00     0.02   0.08   0.04     0.06  -0.04  -0.10
  21   1    -0.15   0.02  -0.00     0.01   0.05   0.05     0.12   0.00  -0.13
  22   1    -0.12   0.07  -0.02     0.01   0.06   0.04     0.04  -0.11  -0.12
  23   1    -0.03  -0.01   0.00    -0.01   0.08  -0.02    -0.07  -0.02   0.01
  24   1    -0.06  -0.06   0.02     0.00   0.06   0.01     0.00   0.09  -0.01
  25   1    -0.00   0.01  -0.00     0.00   0.01  -0.02    -0.02   0.03  -0.03
  26   1    -0.06   0.00   0.07    -0.05  -0.00   0.07    -0.05   0.03   0.07
  27   1     0.07  -0.10   0.01     0.07  -0.12  -0.01     0.11  -0.09  -0.00
  28   1     0.02  -0.10   0.07     0.03  -0.11   0.06     0.05  -0.06   0.11
  29   1     0.02  -0.11   0.08     0.03  -0.13   0.08     0.09  -0.10   0.10
  30   1     0.02  -0.01   0.01     0.01  -0.02   0.00     0.00  -0.00  -0.01
  31   1     0.01  -0.02   0.01    -0.00  -0.01   0.00    -0.00   0.02   0.01
  32   1     0.01  -0.02   0.03    -0.01  -0.01  -0.03     0.02   0.05   0.01
  33   1     0.07  -0.05   0.06    -0.04   0.00  -0.04    -0.05   0.05  -0.04
  34   1     0.10   0.06   0.03    -0.05  -0.06  -0.06    -0.07  -0.03   0.02
  35   1     0.10   0.07   0.03    -0.03  -0.07  -0.05    -0.09  -0.05   0.02
  36   1     0.04   0.09  -0.01    -0.01  -0.08  -0.03    -0.03  -0.06   0.07
  37   1     0.03  -0.01  -0.00    -0.04   0.01  -0.04    -0.01   0.01   0.07
  38   1     0.01  -0.02  -0.03     0.05  -0.00   0.05    -0.07   0.05  -0.02
  39   1     0.07  -0.01  -0.03    -0.14   0.08   0.07     0.08  -0.07  -0.03
  40   1     0.05  -0.02  -0.05    -0.09   0.07   0.11     0.04  -0.04  -0.05
  41   1     0.05  -0.02  -0.05    -0.06   0.07   0.16     0.02  -0.03  -0.12
                     13                     14                     15
                        a                      a                      a 
 Frequencies --    93.2731                98.3087               132.1926
 Red. masses --    12.8508                10.1990                17.1354
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     1.3021                 1.3988                 4.3981
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.18  -0.21  -0.35     0.00  -0.02   0.00    -0.01   0.01   0.15
   2   6    -0.07  -0.00  -0.07     0.05  -0.05  -0.04     0.05  -0.08  -0.01
   3   8    -0.10   0.08  -0.03     0.02  -0.03  -0.01     0.02  -0.13  -0.01
   4  15    -0.06   0.06  -0.01     0.01  -0.02  -0.02     0.05  -0.12  -0.02
   5  16     0.04  -0.03   0.21    -0.09  -0.02   0.03    -0.17  -0.13   0.06
   6   8    -0.03  -0.03  -0.13     0.07   0.02  -0.04     0.22   0.02  -0.08
   7   6    -0.08  -0.01   0.04     0.05   0.05  -0.02     0.15   0.25  -0.04
   8   6     0.00   0.16   0.13     0.09  -0.06  -0.01     0.26  -0.12  -0.01
   9  16    -0.05   0.10   0.07    -0.01   0.02   0.02    -0.11   0.15  -0.11
  10   6    -0.03   0.06   0.04     0.01   0.06  -0.03    -0.05   0.16  -0.11
  11  16    -0.03  -0.03  -0.04     0.01   0.18  -0.01    -0.12   0.23   0.03
