 CONF#          G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                  [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF320        -65.027796          ---           -2932.459163       -0.009922        ---         -2932.469086          5.33                0.00         
CONF322        -65.027786          ---           -2932.460506       -0.010137        ---         -2932.470643          4.35                0.01         
CONF323        -65.027782          ---           -2932.460399       -0.010069        ---         -2932.470467          4.46                0.01         
CONF329        -65.027744          ---           -2932.460763       -0.008729        ---         -2932.469492          5.07                0.00         
CONF330        -65.027732          ---           -2932.464995       -0.008789        ---         -2932.473784          2.38                0.28         
CONF332        -65.027731          ---           -2932.458961       -0.009622        ---         -2932.468583          5.64                0.00         
CONF337        -65.027706          ---           -2932.461923       -0.007242        ---         -2932.469165          5.28                0.00         
CONF338        -65.027700          ---           -2932.465329       -0.007389        ---         -2932.472718          3.05                0.09         
CONF339        -65.027699          ---           -2932.460799       -0.009755        ---         -2932.470554          4.40                0.01         
CONF345        -65.027680          ---           -2932.458951       -0.007872        ---         -2932.466823          6.75                0.00         
CONF352        -65.027641          ---           -2932.463583       -0.009331        ---         -2932.472915          2.92                0.11         
CONF361        -65.027616          ---           -2932.459500       -0.008904        ---         -2932.468404          5.75                0.00         
CONF362        -65.027614          ---           -2932.459746       -0.008569        ---         -2932.468314          5.81                0.00         
CONF366        -65.027591          ---           -2932.463031       -0.008949        ---         -2932.471980          3.51                0.04         
CONF367        -65.027589          ---           -2932.464750       -0.009657        ---         -2932.474407          1.99                0.54         
CONF370        -65.027558          ---           -2932.464617       -0.009604        ---         -2932.474221          2.10                0.45         
CONF371        -65.027586          ---           -2932.464720       -0.009661        ---         -2932.474381          2.00                0.53         
CONF374        -65.027512          ---           -2932.460999       -0.007611        ---         -2932.468610          5.62                0.00         
CONF376        -65.027502          ---           -2932.459584       -0.006569        ---         -2932.466154          7.17                0.00         
CONF377        -65.027502          ---           -2932.462269       -0.009663        ---         -2932.471933          3.54                0.04         
CONF380        -65.027499          ---           -2932.459937       -0.008369        ---         -2932.468306          5.81                0.00         
CONF386        -65.027467          ---           -2932.455951       -0.012170        ---         -2932.468122          5.93                0.00         
CONF390        -65.027440          ---           -2932.454726       -0.012874        ---         -2932.467599          6.26                0.00         
CONF392        -65.027464          ---           -2932.458903       -0.008805        ---         -2932.467708          6.19                0.00         
CONF397        -65.027391          ---           -2932.455600       -0.012347        ---         -2932.467947          6.04                0.00         
CONF398        -65.027395          ---           -2932.458336       -0.009129        ---         -2932.467465          6.34                0.00         
CONF399        -65.027379          ---           -2932.465165       -0.007663        ---         -2932.472829          2.98                0.10         
CONF401        -65.027360          ---           -2932.461459       -0.008710        ---         -2932.470169          4.65                0.01         
CONF402        -65.027376          ---           -2932.455808       -0.011467        ---         -2932.467275          6.46                0.00         
CONF409        -65.027321          ---           -2932.464088       -0.008035        ---         -2932.472123          3.42                0.05         
CONF411        -65.027318          ---           -2932.464076       -0.007988        ---         -2932.472065          3.46                0.05         
CONF412        -65.027317          ---           -2932.461726       -0.009551        ---         -2932.471278          3.95                0.02         
CONF415        -65.027343          ---           -2932.461517       -0.008682        ---         -2932.470199          4.63                0.01         
CONF416        -65.027309          ---           -2932.466343       -0.009257        ---         -2932.475599          1.24                1.92         
CONF420        -65.027293          ---           -2932.463280       -0.007699        ---         -2932.470978          4.14                0.01         
CONF422        -65.027291          ---           -2932.462118       -0.009688        ---         -2932.471806          3.62                0.03         
CONF435        -65.027264          ---           -2932.461974       -0.008336        ---         -2932.470310          4.56                0.01         
CONF439        -65.027242          ---           -2932.463700       -0.007565        ---         -2932.471265          3.96                0.02         
